tick,hour,hostel,library,canteen,lab,admin,ground
199,7,0,0,2,0,0,0
200,8,0,0,2,0,0,0
204,12,0,1,0,0,0,0
204,10,0,1,0,0,0,0
204,9,0,1,0,0,0,0
205,13,0,0,0,0,0,0
207,11,0,0,0,0,0,0
208,16,0,0,0,0,0,0
208,14,0,0,0,0,0,0
209,17,0,0,0,0,0,0
210,18,0,0,0,0,0,0
211,19,0,0,0,0,0,0
212,20,0,0,0,0,0,0
213,21,0,2,0,0,0,0
214,22,0,2,0,0,0,0
215,23,0,2,0,0,0,0
216,0,0,2,0,0,0,0
217,1,0,2,0,0,0,0
218,2,0,2,0,0,0,0
219,3,0,2,0,0,0,0
220,4,0,2,0,0,0,0
222,15,0,2,0,0,0,0
224,8,0,2,0,0,0,0
224,5,0,2,0,0,0,0
225,9,0,0,0,0,0,0
226,10,0,2,0,0,0,0
227,6,0,0,0,0,0,0
228,12,0,2,0,0,0,0
228,7,0,2,0,0,0,0
229,13,0,0,0,0,0,0
229,11,0,0,0,0,0,0
230,14,0,2,0,0,0,0
231,15,0,0,0,0,0,0
232,16,0,0,0,0,0,0
233,17,0,0,0,0,0,0
234,18,0,0,0,0,0,0
235,19,0,0,0,0,0,0
236,20,0,0,0,0,0,0
237,21,2,0,0,0,0,0
238,22,2,0,0,0,0,0
239,23,2,0,0,0,0,0
240,0,2,0,0,0,0,0
243,1,2,0,0,0,0,0
244,4,2,0,0,0,0,0
245,5,2,0,0,0,0,0
246,6,2,0,0,0,0,0
248,8,2,0,0,0,0,0
248,2,2,0,0,0,0,0
249,9,0,0,0,0,0,0
249,3,0,0,0,0,0,0
249,7,0,0,0,0,0,0
250,10,2,0,0,0,0,0
251,11,2,0,0,0,0,0
252,12,2,0,0,0,0,0
253,13,0,0,0,0,0,0
255,15,0,0,0,0,0,0
256,16,2,0,0,0,0,0
256,14,2,0,0,0,0,0
257,17,0,0,0,0,0,0
258,18,2,0,0,0,0,0
259,19,0,0,0,0,0,0
260,20,2,0,0,0,0,0
264,0,2,0,0,0,0,0
264,21,2,0,0,0,0,0
265,1,0,0,0,0,0,0
266,2,2,0,0,0,0,0
267,22,0,0,0,0,0,0
267,23,0,0,0,0,0,0
267,3,0,0,0,0,0,0
268,4,2,0,0,0,0,0
269,5,0,0,0,0,0,0
270,6,2,0,0,0,0,0
271,7,0,0,0,0,0,0
272,8,2,0,0,0,0,0
273,9,2,0,0,0,0,0
274,10,2,0,0,0,0,0
275,11,0,0,0,0,0,0
276,12,2,0,0,0,0,0
277,13,0,0,0,0,0,0
278,14,2,0,0,0,0,0
279,15,2,0,0,0,0,0
280,16,0,0,0,0,0,0
281,17,2,0,0,0,0,0
282,18,0,0,0,0,0,0
283,19,2,0,0,0,0,0
284,20,0,0,0,0,0,0
285,21,2,0,0,0,0,0
286,22,0,0,0,0,0,0
287,23,2,0,0,0,0,0
288,0,0,0,0,0,0,0
289,1,2,0,0,0,0,0
290,2,0,0,0,0,0,0
291,3,2,0,0,0,0,0
292,4,0,0,0,0,0,0
293,5,2,0,0,0,0,0
294,6,0,0,0,0,0,0
295,7,2,0,0,0,0,0
296,8,0,0,0,0,0,0
297,9,0,0,0,0,0,0
298,10,0,0,0,0,0,0
299,11,0,0,0,0,0,0
300,12,0,0,0,0,0,0
301,13,0,0,0,0,0,0
302,14,0,0,0,0,0,0
303,15,0,0,0,0,0,0
304,16,0,0,0,0,0,0
305,17,0,0,0,0,0,0
306,18,0,0,0,0,0,0
307,19,0,0,0,0,0,0
308,20,0,0,0,0,0,0
309,21,0,0,0,0,0,0
310,22,0,0,0,0,0,0
311,23,0,0,0,0,0,0
312,0,0,0,2,0,0,0
313,1,0,0,2,0,0,0
314,2,0,0,2,0,0,0
315,3,0,0,2,0,0,0
316,4,0,0,2,0,0,0
317,5,0,0,2,0,0,0
318,6,0,0,2,0,0,0
319,7,0,0,2,0,0,0
320,8,0,0,2,0,0,0
324,12,0,0,0,0,0,0
325,13,0,0,2,0,0,0
325,9,0,0,2,0,0,0
326,14,1,0,2,0,0,0
326,10,1,0,2,0,0,0
328,16,0,0,2,0,0,0
328,11,0,0,2,0,0,0
329,17,1,0,2,0,0,0
330,18,1,0,2,0,0,0
331,19,0,0,2,0,0,0
332,20,0,0,2,0,0,0
332,15,0,0,2,0,0,0
333,21,0,0,2,0,0,0
